t_s,gyro_x_radps,gyro_y_radps,gyro_z_radps,accel_x_mps2,accel_y_mps2,accel_z_mps2,ins_pos_ecef_x_m,ins_pos_ecef_y_m,ins_pos_ecef_z_m,ins_vel_ecef_x_mps,ins_vel_ecef_y_mps,ins_vel_ecef_z_mps,ins_quat_w,ins_quat_x,ins_quat_y,ins_quat_z
10.205,-1.0843799057199898e-05,-0.0005730752823732739,0.00389689150409451,20.26007064119293,-38.31637890182741,-5.000871334835018,-1656867.0609968533,5046938.043180291,3662060.568507418,-66.62927585057369,-4912.410784862039,6903.2684930542355,0.995597496280546,-3.4039466608839454e-05,0.00023574669025408054,0.09373136435964861
10.21,-5.930541788066715e-06,-0.0006276500444772662,0.0038794797137017543,20.262212264671145,-38.32393093234272,-5.007769383068412,-1656867.394521945,5046913.481197605,3662095.0844639516,-66.7807608084268,-4912.382289340367,6903.114120406059,0.9955965834167123,-3.3929872236735455e-05,0.00023431810006196603,0.09374106374882492
10.215,1.212653313255538e-05,-0.0005900580455793466,0.003904525131287469,20.28248571043687,-38.342357553675185,-5.002517877598245,-1656867.728804503,5046888.919357357,3662129.5996485073,-66.93226251172034,-4912.3538099861635,6902.959701730579,0.9955956745694448,-3.3795269265084436e-05,0.00023275482368841316,0.0937507197928858
10.22,6.0983381812703865e-06,-0.0006005184152848294,0.003890101382481676,20.286462174668664,-38.357631101738136,-5.017163541143769,-1656868.0638449024,5046864.357659556,3662164.1140608634,-67.08389720472394,-4912.32531017311,6902.805240730984,0.9955947597351972,-3.362451854472755e-05,0.00023128934764650547,0.09376043815194372
10.225,5.613943383694223e-06,-0.0005898594229321499,0.0038761576617829738,20.302979229471436,-38.38175099179761,-5.005378082640974,-1656868.3996435464,5046839.796104174,3662198.62770067,-67.23556039273144,-4912.296842838026,6902.650682014732,0.9955938481907144,-3.346632833739203e-05,0.00022979642163099102,0.09377012060573618
10.23,-2.1903301890430942e-06,-0.0006075585257621119,0.0039025465594855163,20.30451165877377,-38.39067744935272,-5.0066538796790745,-1656868.736200842,5046815.234691295,3662233.140567558,-67.38735790199347,-4912.268308517809,6902.496073158697,0.995592939812797,-3.331185052607865e-05,0.00022832991094033604,0.093779768344164
10.235,2.2599372891180748e-05,-0.0005759353941384958,0.003899505495147548,20.30863314330165,-38.39892217750766,-5.00905351196891,-1656869.0735171845,5046790.673421115,3662267.652661311,-67.53917900176877,-4912.239763783919,6902.341427922349,0.9955920251611111,-3.317263280285865e-05,0.00022681751996327584,0.09378948176094468
10.24,-4.017770019019288e-06,-0.0005875147864821796,0.00391045451950979,20.323665605958883,-38.422686481508705,-5.011677756734345,-1656869.4115927138,5046766.112293655,3662302.1639817506,-67.6910327681569,-4912.2112198750665,6902.186747964236,0.9955911111097239,-3.297913051690795e-05,0.0002253896505895941,0.09379918758277134
10.245000000000001,-2.8927592014341575e-06,-0.0005784203485877722,0.003864764059500245,20.32769429174348,-38.428807611881496,-5.0088095665793615,-1656869.7504277835,5046741.551308947,3662336.6745285653,-67.84299505909367,-4912.182663642005,6902.031977870103,0.9955901943981498,-3.284915619148395e-05,0.00022392671958050233,0.09380892066329101
10.25,-8.235085736546707e-06,-0.0005837901080863251,0.003921020426796014,20.329559442428547,-38.44993507060092,-5.009894055592858,-1656870.0900227528,5046716.990467057,3662371.1843015007,-67.99499267214922,-4912.154092232758,6901.877196363542,0.9955892883008477,-3.2718540165332935e-05,0.000222486684470653,0.09381854001093834
